"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Date,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,Continent,New Cases/1M pop
USA,"31,802,772",,"574,840 ",,"24,346,766",,"6,881,166","9,078","95,647","1,729","416,789,330","1,253,501","332,500,290 ",2021-04-10,,,
Brazil,"13,375,414",,"348,934  ",,"11,791,885",,"1,234,595","8,318","62,582","1,633","28,600,000","133,817","213,724,704 ",2021-04-10,,,
India,"13,205,926","+3,143","168,467 ",,"11,990,859","+2,919","1,046,600","8,944","9,498",121,"255,214,803","183,547","1,390,456,911 ",2021-04-10,,,
France,"4,980,501",,"98,395 ",,"303,639",,"4,578,467","5,729","76,172","1,505","68,007,540","1,040,108","65,385,105 ",2021-04-10,,,
Russia,"4,623,984",,"102,247 ",,"4,248,700",,"273,037","2,300","31,675",700,"123,000,000","842,565","145,982,840 ",2021-04-10,,,
UK,"4,365,461",,"127,040 ",,"3,957,317",,"281,104",421,"64,046","1,864","134,289,127","1,970,169","68,161,226 ",2021-04-10,,,
Turkey,"3,745,657",,"33,454 ",,"3,268,678",,"443,525","2,658","44,047",393,"40,994,845","482,077","85,037,969 ",2021-04-10,,,
Italy,"3,736,526",,"113,579 ",,"3,086,586",,"536,361","3,603","61,870","1,881","52,480,874","868,989","60,393,047 ",2021-04-10,,,
Spain,"3,347,512",,"76,328 ",,"3,095,922",,"175,262","2,050","71,576","1,632","43,458,915","929,229","46,768,779 ",2021-04-10,,,
Germany,"2,974,110",,"78,689 ",,"2,661,500","+13,900","233,921","4,439","35,410",937,"51,559,277","613,868","83,990,855 ",2021-04-10,,,
Poland,"2,528,006",,"57,427 ",,"2,107,776",,"362,803","3,376","66,853","1,519","12,807,584","338,695","37,814,548 ",2021-04-10,,,
Colombia,"2,504,206",,"65,283 ",,"2,365,566",,"73,357","2,603","48,814","1,273","13,174,589","256,812","51,300,574 ",2021-04-10,,,
Argentina,"2,497,881",,"57,350 ",,"2,203,926",,"236,605","3,718","54,880","1,260","9,451,754","207,661","45,515,363 ",2021-04-10,,,
Mexico,"2,272,064","+5,045","207,020 ",874.0,"1,804,913","+2,880","260,131","4,798","17,481","1,593","6,241,611","48,021","129,976,073 ",2021-04-10,,,
Iran,"2,029,412",,"64,039 ",,"1,693,005",,"272,368","4,278","23,926",755,"13,494,296","159,093","84,820,190 ",2021-04-10,,,
Ukraine,"1,823,674",,"36,381 ",,"1,395,104",,"392,189",177,"41,894",836,"8,568,004","196,829","43,530,191 ",2021-04-10,,,
Peru,"1,628,519",,"54,285 ",,"1,547,807",,"26,427","2,313","48,868","1,629","9,876,422","296,366","33,325,110 ",2021-04-10,,,
Czechia,"1,573,153",,"27,617 ",,"1,437,295",,"108,241","1,311","146,690","2,575","14,038,491","1,309,032","10,724,333 ",2021-04-10,,,
Indonesia,"1,558,145",,"42,348 ",,"1,405,659",,"110,138",,"5,651",154,"13,280,778","48,162","275,751,213 ",2021-04-10,,,
South Africa,"1,556,242",,"53,226 ",,"1,481,637",,"21,379",546,"25,988",889,"10,086,459","168,433","59,884,124 ",2021-04-10,,,
Netherlands,"1,334,771",,"16,731 ",,,,,785,"77,765",975,"10,795,845","628,976","17,164,165 ",2021-04-10,,,
Chile,"1,060,421",,"24,108 ",,"991,676",,"44,637","3,075","55,108","1,253","11,751,801","610,715","19,242,680 ",2021-04-10,,,
Canada,"1,045,278",,"23,251 ",,"954,017",,"68,010",928,"27,509",612,"28,725,621","755,993","37,997,200 ",2021-04-10,,,
Romania,"998,555",,"24,867 ",,"896,573",,"77,115","1,496","52,176","1,299","7,630,875","398,724","19,138,239 ",2021-04-10,,,
Belgium,"917,917","+4,860","23,390 ",42.0,"59,165",+263,"835,362",911,"78,936","2,011","11,620,846","999,336","11,628,563 ",2021-04-10,,,
Iraq,"911,376",,"14,641 ",,"804,772",,"91,963",449,"22,275",358,"8,428,859","206,013","40,914,153 ",2021-04-10,,,
Sweden,"857,401",,"13,621 ",,,,,377,"84,491","1,342","7,530,772","742,105","10,147,848 ",2021-04-10,,,
Philippines,"840,554",,"14,520 ",,"647,683",,"178,351",785,"7,593",131,"10,632,956","96,049","110,703,120 ",2021-04-10,,,
Israel,"835,674",,"6,280 ",,"825,195",,"4,199",270,"90,858",683,"13,729,129","1,492,688","9,197,590 ",2021-04-10,,,
Portugal,"826,327",,"16,904 ",,"783,523",,"25,900",128,"81,222","1,662","9,363,361","920,350","10,173,697 ",2021-04-10,,,
Pakistan,"715,968","+5,139","15,329 ",100.0,"627,561","+1,772","73,078","4,204","3,194",68,"10,688,894","47,679","224,183,472 ",2021-04-10,,,
Hungary,"705,815",,"22,966 ",,"420,275",,"262,574","1,364","73,207","2,382","4,861,310","504,214","9,641,368 ",2021-04-10,,,
Bangladesh,"673,594",,"9,584 ",,"568,541",,"95,469",,"4,059",58,"4,915,758","29,621","165,953,360 ",2021-04-10,,,
Jordan,"659,250",,"7,646 ",,"581,170",,"70,434",729,"64,122",744,"6,269,269","609,782","10,281,166 ",2021-04-10,,,
Serbia,"636,418",,"5,659 ",,"545,508",,"85,251",264,"73,066",650,"3,563,364","409,106","8,710,121 ",2021-04-10,,,
Switzerland,"617,543",,"10,450 ",,"557,566",,"49,527",189,"70,954","1,201","6,339,396","728,379","8,703,430 ",2021-04-10,,,
Austria,"571,616",,"9,624 ",,"529,191",,"32,801",580,"63,190","1,064","26,161,838","2,892,073","9,046,051 ",2021-04-10,,,
Morocco,"500,948",,"8,885 ",,"487,414",,"4,649",239,"13,449",239,"6,079,500","163,220","37,247,332 ",2021-04-10,,,
Japan,"496,206",,"9,334 ",,"458,840",,"28,032",483,"3,933",74,"10,317,762","81,772","126,176,770 ",2021-04-10,,,
Lebanon,"491,928",,"6,592 ",,"398,699",,"86,637",853,"72,323",969,"3,674,827","540,275","6,801,775 ",2021-04-10,,,
UAE,"480,006",,"1,526 ",,"464,971",,"13,509",,"48,085",153,"39,784,257","3,985,448","9,982,380 ",2021-04-10,,,
Saudi Arabia,"396,758",,"6,737 ",,"382,198",,"7,823",898,"11,262",191,"15,676,905","444,980","35,230,579 ",2021-04-10,,,
Bulgaria,"370,179",,"14,308 ",,"284,869",,"71,002",812,"53,588","2,071","2,257,555","326,808","6,907,899 ",2021-04-10,,,
Slovakia,"369,393",,"10,411 ",,"255,300",,"103,682",545,"67,634","1,906","2,420,747","443,223","5,461,686 ",2021-04-10,,,
Panama,"358,098",,"6,156 ",,"347,483",,"4,459",105,"82,002","1,410","2,225,209","509,555","4,366,967 ",2021-04-10,,,
Malaysia,"357,607",,"1,313 ",,"341,489",,"14,805",169,"10,941",40,"8,104,421","247,955","32,685,088 ",2021-04-10,,,
Ecuador,"342,678",,"17,158 ",,"290,314",,"35,206",602,"19,199",961,"1,183,906","66,329","17,848,997 ",2021-04-10,,,
Belarus,"333,430",,"2,334 ",,"323,748",,"7,348",,"35,295",247,"5,516,682","583,966","9,446,919 ",2021-04-10,,,
Greece,"290,964",,"8,758 ",,"245,351",,"36,855",790,"28,021",843,"6,994,041","673,565","10,383,622 ",2021-04-10,,,
Croatia,"288,364",,"6,235 ",,"268,929",,"13,200",175,"70,580","1,526","1,619,663","396,427","4,085,651 ",2021-04-10,,,
Georgia,"287,183",,"3,858 ",,"276,426",,"6,899",,"72,098",969,"3,620,829","909,016","3,983,242 ",2021-04-10,,,
Azerbaijan,"281,387",,"3,846 ",,"247,459",,"30,082",,"27,561",377,"2,990,285","292,889","10,209,606 ",2021-04-10,,,
Bolivia,"280,649","+1,442","12,428 ",16.0,"230,021",+985,"38,200",71,"23,793","1,054","976,539","82,789","11,795,501 ",2021-04-10,,,
Nepal,"279,388",,"3,038 ",,"273,735",,"2,615",,"9,458",103,"2,306,244","78,074","29,539,173 ",2021-04-10,,,
Tunisia,"268,837",,"9,179 ",,"223,391",,"36,267",392,"22,565",770,"1,168,876","98,111","11,913,868 ",2021-04-10,,,
Kazakhstan,"266,677","+2,734","3,202 ",12.0,"232,835","+1,511","30,640",221,"14,073",169,"9,103,707","480,417","18,949,587 ",2021-04-10,,,
Palestine,"264,395",,"2,812 ",,"229,876",,"31,707",190,"50,921",542,"1,623,732","312,722","5,192,257 ",2021-04-10,,,
Dominican Republic,"256,563",,"3,382 ",,"215,726",,"37,455",155,"23,470",309,"1,339,875","122,568","10,931,710 ",2021-04-10,,,
Kuwait,"244,325",,"1,393 ",,"228,627",,"14,305",224,"56,568",323,"2,142,326","496,009","4,319,129 ",2021-04-10,,,
Ireland,"240,192",,"4,769 ",,"23,364",,"212,059",60,"48,229",958,"4,153,203","833,934","4,980,256 ",2021-04-10,,,
Moldova,"240,056",,"5,339 ",,"220,881",,"13,836",316,"59,616","1,326","894,243","222,078","4,026,708 ",2021-04-10,,,
Denmark,"236,346",,"2,436 ",,"225,255",,"8,655",37,"40,694",419,"28,412,565","4,892,009","5,807,954 ",2021-04-10,,,
Paraguay,"232,142",,"4,698 ",,"189,971",,"37,473",445,"32,242",653,"962,987","133,749","7,199,969 ",2021-04-10,,,
Ethiopia,"225,516",,"3,111 ",,"167,945",,"54,460",895,"1,925",27,"2,430,217","20,746","117,143,517 ",2021-04-10,,,
Slovenia,"224,699",,"4,100 ",,"206,688",,"13,911",138,"108,072","1,972","1,096,266","527,264","2,079,159 ",2021-04-10,,,
Lithuania,"224,309",,"3,660 ",,"204,340",,"16,309",161,"83,300","1,359","2,462,223","914,378","2,692,785 ",2021-04-10,,,
Costa Rica,"222,544",,"3,018 ",,"194,760",,"24,766",199,"43,381",588,"842,015","164,137","5,129,965 ",2021-04-10,,,
Egypt,"208,876",,"12,362 ",,"158,454",,"38,060",90,"2,012",119,"2,507,491","24,153","103,815,779 ",2021-04-10,,,
Guatemala,"201,295",,"6,977 ",,"183,917",,"10,401",5,"11,078",384,"1,095,962","60,317","18,169,964 ",2021-04-10,,,
Armenia,"201,158",,"3,697 ",,"180,160",,"17,301",,"67,787","1,246","894,461","301,417","2,967,523 ",2021-04-10,,,
Honduras,"194,548",+765,"4,766 ",51.0,"75,233",+474,"114,549",512,"19,405",475,"536,963","53,559","10,025,665 ",2021-04-10,,,
Qatar,"188,100",,324 ,,"168,534",,"19,242",433,"66,992",115,"1,792,416","638,369","2,807,805 ",2021-04-10,,,
Bosnia and Herzegovina,"181,927",,"7,298 ",,"139,419",,"35,210",,"55,720","2,235","835,478","255,889","3,265,007 ",2021-04-10,,,
Venezuela,"172,461",,"1,739 ",,"155,662",,"15,060",237,"6,078",61,"3,359,014","118,385","28,373,581 ",2021-04-10,,,
Oman,"168,005",,"1,747 ",,"149,969",,"16,289",204,"32,271",336,"1,550,000","297,732","5,206,018 ",2021-04-10,,,
Libya,"166,888",,"2,807 ",,"152,328",,"11,753",,"24,036",404,"905,959","130,482","6,943,166 ",2021-04-10,,,
Nigeria,"163,652",,"2,059 ",,"154,073",,"7,520",11,779,10,"1,803,177","8,584","210,050,728 ",2021-04-10,,,
Bahrain,"154,280",,550 ,,"142,741",,"10,989",86,"88,329",315,"3,744,274","2,143,690","1,746,649 ",2021-04-10,,,
Kenya,"144,154",,"2,309 ",,"98,183",,"43,662",236,"2,636",42,"1,549,388","28,336","54,679,096 ",2021-04-10,,,
Myanmar,"142,558",,"3,206 ",,"131,845",,"7,507",,"2,607",59,"2,549,607","46,618","54,691,149 ",2021-04-10,,,
North Macedonia,"140,065",,"4,150 ",,"113,430",,"22,485",124,"67,232","1,992","660,522","317,054","2,083,308 ",2021-04-10,,,
Uruguay,"137,946",,"1,363 ",,"104,241",,"32,342",453,"39,605",391,"1,504,177","431,859","3,483,027 ",2021-04-10,,,
Albania,"127,795",,"2,304 ",,"96,672",,"28,819",18,"44,445",801,"579,303","201,471","2,875,366 ",2021-04-10,,,
Algeria,"118,251",,"3,123 ",,"82,392",,"32,736",19,"2,660",70,"230,861","5,193","44,458,992 ",2021-04-10,,,
Estonia,"113,098",,"1,006 ",,"92,862",,"19,230",70,"85,214",758,"1,186,998","894,346","1,327,225 ",2021-04-10,,,
S. Korea,"108,945",+676,"1,765  ",1.0,"99,301",+515,"7,879",108,"2,124",34,"8,106,630","158,014","51,303,292 ",2021-04-10,,,
Latvia,"106,574",,"1,981 ",,"97,612",,"6,981",87,"56,991","1,059","2,003,893","1,071,592","1,870,015 ",2021-04-10,,,
Norway,"102,719",,684 ,,"88,952",,"13,083",61,"18,834",125,"4,824,081","884,515","5,453,925 ",2021-04-10,,,
Sri Lanka,"94,564",,593 ,,"91,272",,"2,699",,"4,402",28,"2,374,627","110,537","21,482,568 ",2021-04-10,,,
Montenegro,"93,803",,"1,354 ",,"87,768",,"4,681",69,"149,338","2,156","349,633","556,628","628,127 ",2021-04-10,,,
Ghana,"91,109",,752 ,,"88,971",,"1,386",32,"2,886",24,"1,020,874","32,337","31,570,317 ",2021-04-10,,,
Kyrgyzstan,"89,811",,"1,516 ",,"85,719",,"2,576",24,"13,594",229,"891,875","134,992","6,606,892 ",2021-04-10,,,
Zambia,"89,783",,"1,226 ",,"85,559",,"2,998",56,"4,781",65,"1,293,121","68,865","18,777,519 ",2021-04-10,,,
Cuba,"84,532",,448 ,,"78,916",,"5,168",66,"7,467",40,"3,170,526","280,050","11,321,269 ",2021-04-10,,,
Uzbekistan,"84,529",,634 ,,"82,415",,"1,480",23,"2,498",19,"1,377,915","40,716","33,842,182 ",2021-04-10,,,
Finland,"81,261",,868 ,,"46,000",,"34,393",41,"14,649",156,"4,108,220","740,570","5,547,372 ",2021-04-10,,,
Mozambique,"68,506",,789 ,,"58,336",,"9,381",68,"2,146",25,"493,153","15,447","31,924,805 ",2021-04-10,,,
El Salvador,"65,491",,"2,044 ",,"62,340",,"1,107",30,"10,058",314,"856,658","131,561","6,511,465 ",2021-04-10,,,
Luxembourg,"63,467",,763 ,,"58,874",,"3,830",30,"100,137","1,204","2,490,226","3,929,022","633,803 ",2021-04-10,,,
Cameroon,"61,731",,919 ,,"56,926",,"3,886",385,"2,282",34,"1,187,367","43,893","27,051,678 ",2021-04-10,,,
Singapore,"60,601",,30 ,,"60,304",,267,1,"10,296",5,"8,789,647","1,493,361","5,885,816 ",2021-04-10,,,
Afghanistan,"57,144",,"2,521 ",,"51,961",,"2,662","1,120","1,443",64,"366,190","9,247","39,600,147 ",2021-04-10,,,
Cyprus,"50,589",,268 ,,"36,872",,"13,449",20,"41,667",221,"3,838,911","3,161,843","1,214,137 ",2021-04-10,,,
Namibia,"45,193",,559 ,,"43,483",,"1,151",27,"17,542",217,"358,301","139,079","2,576,234 ",2021-04-10,,,
Ivory Coast,"45,089",,260 ,,"44,197",,632,,"1,678",10,"548,998","20,425","26,878,311 ",2021-04-10,,,
Botswana,"42,674",,636 ,,"38,203",,"3,835",1,"17,870",266,"944,985","395,714","2,388,048 ",2021-04-10,,,
Jamaica,"41,843",,661 ,,"18,690",,"22,492",47,"14,083",222,"298,981","100,628","2,971,145 ",2021-04-10,,,
Uganda,"41,086",,337 ,,"40,685",,64,,877,7,"960,758","20,510","46,843,463 ",2021-04-10,,,
Senegal,"39,307",,"1,074 ",,"38,031",,202,21,"2,301",63,"450,876","26,396","17,081,465 ",2021-04-10,,,
Zimbabwe,"37,147",,"1,535 ",,"34,831",,781,3,"2,472",102,"390,833","26,005","15,029,288 ",2021-04-10,,,
Malawi,"33,779",,"1,126 ",,"31,239",,"1,414",29,"1,732",58,"222,695","11,415","19,508,185 ",2021-04-10,,,
Thailand,"31,658",+789,97 ,1.0,"28,161",+33,"3,400",1,453,1,"8,124,896","116,177","69,935,286 ",2021-04-10,,,
Sudan,"30,111",,"2,063 ",,"24,214",,"3,834",,675,46,"232,965","5,220","44,633,495 ",2021-04-10,,,
Malta,"29,511",,401 ,,"28,561",,549,,"66,699",906,"828,497","1,872,517","442,451 ",2021-04-10,,,
Australia,"29,396",+8,909 ,,"26,352",+9,"2,135",,"1,143",35,"16,078,365","624,945","25,727,658 ",2021-04-10,,,
DRC,"28,511",,745 ,,"25,841",,"1,925",,311,8,"143,000","1,560","91,640,540 ",2021-04-10,,,
Madagascar,"27,034",,486 ,,"23,293",,"3,255",246,957,17,"151,659","5,371","28,235,744 ",2021-04-10,,,
Maldives,"25,436",,67 ,,"22,276",,"3,093",82,"46,428",122,"665,151","1,214,100","547,855 ",2021-04-10,,,
Rwanda,"23,260",,314 ,,"20,991",,"1,955",5,"1,762",24,"1,207,093","91,460","13,197,999 ",2021-04-10,,,
Angola,"23,242",,549 ,,"21,589",,"1,104",13,691,16,"436,405","12,970","33,646,691 ",2021-04-10,,,
Guinea,"20,746",,132 ,,"18,408",,"2,206",24,"1,548",10,"412,617","30,780","13,405,203 ",2021-04-10,,,
Gabon,"20,636",,127 ,,"17,456",,"3,053",20,"9,107",56,"662,689","292,454","2,265,958 ",2021-04-10,,,
Syria,"20,008",,"1,360 ",,"13,780",,"4,868",,"1,122",76,,,"17,826,172 ",2021-04-10,,,
Mayotte,"19,643",,167 ,,"2,964",,"16,512",7,"70,695",601,"162,430","584,585","277,855 ",2021-04-10,,,
French Polynesia,"18,652",,141 ,,"4,842",,"13,669",2,"66,104",500,"26,355","93,404","282,161 ",2021-04-10,,,
Cabo Verde,"18,629",,177 ,,"17,077",,"1,375",23,"33,228",316,"133,611","238,320","560,637 ",2021-04-10,,,
Mauritania,"18,005",,450 ,,"17,307",,248,14,"3,796",95,"213,675","45,049","4,743,154 ",2021-04-10,,,
French Guiana,"17,549",,94 ,,"9,995",,"7,460",9,"57,612",309,"169,271","555,707","304,605 ",2021-04-10,,,
Réunion,"17,508",,123 ,,"16,011",,"1,374",54,"19,448",137,"100,098","111,190","900,240 ",2021-04-10,,,
Eswatini,"17,370",,669 ,,"16,642",,59,3,"14,854",572,"172,552","147,554","1,169,416 ",2021-04-10,,,
Mongolia,"14,183",+689,20 ,1.0,"8,875",+353,"5,288",88,"4,273",6,"2,357,529","710,344","3,318,857 ",2021-04-10,,,
Tajikistan,"13,308",,90 ,,"13,218",,0,,"1,372",9,,,"9,701,803 ",2021-04-10,,,
Burkina Faso,"12,924",,152 ,,"12,571",,201,,606,7,"174,792","8,190","21,341,538 ",2021-04-10,,,
Haiti,"12,840",,251 ,,"11,447",,"1,142",,"1,116",22,"54,379","4,725","11,509,514 ",2021-04-10,,,
Belize,"12,485",,318 ,,"12,106",,61,1,"30,967",789,"103,373","256,401","403,170 ",2021-04-10,,,
Andorra,"12,456",,120 ,,"11,732",,604,12,"161,011","1,551","193,595","2,502,488","77,361 ",2021-04-10,,,
Somalia,"12,271",,605 ,,"5,129",,"6,537",,756,37,"98,053","6,041","16,232,185 ",2021-04-10,,,
Guadeloupe,"12,140",,174 ,,"2,242",,"9,724",13,"30,337",435,"159,029","397,397","400,177 ",2021-04-10,,,
Togo,"11,814",,116 ,,"8,985",,"2,713",,"1,402",14,"288,679","34,255","8,427,344 ",2021-04-10,,,
Hong Kong,"11,564",,207 ,,"11,186",,171,7,"1,533",27,"11,193,673","1,483,810","7,543,871 ",2021-04-10,,,
Mali,"11,393",,404 ,,"7,081",,"3,908",,550,20,"240,790","11,634","20,696,544 ",2021-04-10,,,
Guyana,"10,958",,252 ,,"9,576",,"1,130",13,"13,880",319,"97,651","123,690","789,482 ",2021-04-10,,,
Curaçao,"10,909",,62 ,,"6,121",,"4,726",22,"66,271",377,"82,530","501,364","164,611 ",2021-04-10,,,
Lesotho,"10,707",,315 ,,"4,471",,"5,921",,"4,968",146,"68,712","31,880","2,155,342 ",2021-04-10,,,
South Sudan,"10,340",,114 ,,"10,090",,136,,915,10,"137,942","12,213","11,294,753 ",2021-04-10,,,
Congo,"10,084",,137 ,,"8,208",,"1,739",,"1,794",24,"92,500","16,453","5,622,068 ",2021-04-10,,,
Aruba,"9,958",,92 ,,"9,283",,583,14,"92,965",859,"133,934","1,250,364","107,116 ",2021-04-10,,,
Djibouti,"9,662",,94 ,,"7,551",,"2,017",,"9,671",94,"137,434","137,565","999,047 ",2021-04-10,,,
Bahamas,"9,364",,189 ,,"8,837",,338,4,"23,638",477,"79,493","200,669","396,139 ",2021-04-10,,,
Suriname,"9,265",,178 ,,"8,647",,440,7,"15,685",301,"45,863","77,644","590,683 ",2021-04-10,,,
Martinique,"9,028",,57 ,,98,,"8,873",5,"24,072",152,"133,358","355,583","375,040 ",2021-04-10,,,
Trinidad and Tobago,"8,323",,145 ,,"7,712",,466,14,"5,932",103,"115,228","82,130","1,402,988 ",2021-04-10,,,
Papua New Guinea,"7,839",,68 ,,846,,"6,925",,864,7,"63,700","7,018","9,077,096 ",2021-04-10,,,
Benin,"7,515",,93 ,,"6,452",,970,35,608,8,"548,484","44,354","12,366,127 ",2021-04-10,,,
Equatorial Guinea,"7,059",,104 ,,"6,683",,272,11,"4,908",72,"111,994","77,874","1,438,142 ",2021-04-10,,,
Nicaragua,"6,727",,179 ,,"4,225",,"2,323",,"1,006",27,,,"6,685,223 ",2021-04-10,,,
Iceland,"6,258",,29 ,,"6,126",,103,,"18,248",85,"558,666","1,628,997","342,951 ",2021-04-10,,,
Gambia,"5,564",,166 ,,"5,111",,287,3,"2,254",67,"58,464","23,683","2,468,564 ",2021-04-10,,,
CAR,"5,402",,74 ,,"5,056",,272,2,"1,104",15,"40,907","8,358","4,894,258 ",2021-04-10,,,
Yemen,"5,233",,"1,022 ",,"1,987",,"2,224",23,173,34,"20,872",688,"30,329,437 ",2021-04-10,,,
Niger,"5,062",,188  ,,"4,746",,128,1,204,8,"92,995","3,739","24,873,980 ",2021-04-10,,,
San Marino,"4,944",,85 ,,"4,419",,440,10,"145,472","2,501","55,695","1,638,763","33,986 ",2021-04-10,,,
Chad,"4,619",,167 ,,"4,279",,173,,275,10,"110,863","6,604","16,786,050 ",2021-04-10,,,
Seychelles,"4,395",,24 ,,"4,091",,280,,"44,476",243,"21,504","217,614","98,817 ",2021-04-10,,,
Saint Lucia,"4,329",,64 ,,"4,143",,122,2,"23,492",347,"37,104","201,351","184,275 ",2021-04-10,,,
Gibraltar,"4,277",,94 ,,"4,178",,5,,"126,978","2,791","218,392","6,483,746","33,683 ",2021-04-10,,,
Channel Islands,"4,051",,86 ,,"3,956",,9,1,"23,136",491,"399,901","2,283,870","175,098 ",2021-04-10,,,
Sierra Leone,"3,995",,79 ,,"2,828",,"1,088",,493,10,"118,332","14,606","8,101,406 ",2021-04-10,,,
Comoros,"3,758",,146 ,,"3,568",,44,,"4,252",165,,,"883,803 ",2021-04-10,,,
Barbados,"3,708",,44 ,,"3,579",,85,,"12,891",153,"145,227","504,879","287,647 ",2021-04-10,,,
Guinea-Bissau,"3,675",,66 ,,"3,049",,560,9,"1,834",33,"60,013","29,952","2,003,626 ",2021-04-10,,,
Cambodia,"3,604",,24 ,,"1,984",,"1,596",,213,1,"744,516","44,062","16,896,931 ",2021-04-10,,,
Eritrea,"3,447",,10 ,,"3,166",,271,,962,3,"23,693","6,610","3,584,173 ",2021-04-10,,,
Burundi,"3,078",,6 ,,773,,"2,299",,253,0.5,"90,019","7,402","12,161,279 ",2021-04-10,,,
Liechtenstein,"2,722",,56 ,,"2,606",,60,4,"71,232","1,465","32,252","844,006","38,213 ",2021-04-10,,,
Vietnam,"2,683",,35 ,,"2,429",,219,,27,0.4,"2,598,753","26,514","98,013,529 ",2021-04-10,,,
New Zealand,"2,571",+10,26 ,,"2,440",,105,,514,5,"1,937,821","387,401","5,002,100 ",2021-04-10,,,
Monaco,"2,369",,31 ,,"2,220",,118,6,"60,040",786,"51,953","1,316,699","39,457 ",2021-04-10,,,
Turks and Caicos,"2,344",,17 ,,"2,279",,48,2,"59,918",435,"37,014","946,166","39,120 ",2021-04-10,,,
Sao Tome and Principe,"2,261",,35 ,,"2,172",,54,,"10,172",157,"12,597","56,671","222,283 ",2021-04-10,,,
Sint Maarten,"2,182",,27 ,,"2,116",,39,1,"50,450",624,"24,628","569,420","43,251 ",2021-04-10,,,
Liberia,"2,042",,85 ,,"1,899",,58,2,397,17,"79,684","15,476","5,148,732 ",2021-04-10,,,
St. Vincent Grenadines,"1,789",,10 ,,"1,635",,144,2,"16,086",90,"43,529","391,406","111,212 ",2021-04-10,,,
Saint Martin,"1,693",,12 ,,"1,399",,282,7,"43,220",306,"26,385","673,568","39,172 ",2021-04-10,,,
Bermuda,"1,657",,14 ,,864,,779,26,"26,683",225,"212,706","3,425,217","62,100 ",2021-04-10,,,
Isle of Man,"1,574",,29 ,,"1,445",,100,,"18,435",340,"44,761","524,256","85,380 ",2021-04-10,,,
Caribbean Netherlands,"1,511",,14 ,,"1,349",,148,,"57,211",530,"9,238","349,779","26,411 ",2021-04-10,,,
Mauritius,"1,183",,12 ,,730,,441,,929,9,"358,675","281,667","1,273,399 ",2021-04-10,,,
Antigua and Barbuda,"1,182",,30 ,,913,,239,45,"11,993",304,"16,493","167,350","98,554 ",2021-04-10,,,
Taiwan,"1,054",,10 ,,"1,018",,26,,44,0.4,"484,871","20,330","23,850,085 ",2021-04-10,,,
St. Barth,907,,1 ,,462,,444,,"91,616",101,"26,385","2,665,152","9,900 ",2021-04-10,,,
Bhutan,906,,1 ,,875,,30,,"1,164",1,"644,174","827,826","778,151 ",2021-04-10,,,
Timor-Leste,877,,1 ,,395,,481,,656,0.7,"47,617","35,596","1,337,717 ",2021-04-10,,,
Diamond Princess,712,,13 ,,699,,0,,,,,, ,2021-04-10,,,
Faeroe Islands,661,,1 ,,660,,0,,"13,488",20,"245,768","5,015,059","49,006 ",2021-04-10,,,
Cayman Islands,516,,2 ,,487,,27,,"7,781",30,"84,802","1,278,756","66,316 ",2021-04-10,,,
Tanzania,509,,21 ,,183,,305,7,8,0.3,,,"61,034,538 ",2021-04-10,,,
Wallis and Futuna,430,,5 ,,44,,381,3,"38,788",451,"1,331","120,061","11,086 ",2021-04-10,,,
Brunei ,219,,3 ,,206,,10,,497,7,"116,596","264,566","440,707 ",2021-04-10,,,
British Virgin Islands,178,,1 ,,159,,18,,"5,858",33,"13,223","435,168","30,386 ",2021-04-10,,,
Dominica,165,, ,,159,,6,,"2,288",,"13,500","187,178","72,124 ",2021-04-10,,,
Grenada,155,,1 ,,152,,2,,"1,373",9,"23,989","212,433","112,925 ",2021-04-10,,,
New Caledonia,121,, ,,58,,63,,421,,"29,017","100,889","287,613 ",2021-04-10,,,
Fiji,68,,2 ,,64,,2,,75,2,"40,300","44,706","901,455 ",2021-04-10,,,
Falkland Islands,60,, ,,54,,6,,"16,868",,"7,165","2,014,338","3,557 ",2021-04-10,,,
Macao,49,, ,,48,,1,,75,,"4,418","6,733","656,144 ",2021-04-10,,,
Laos,49,, ,,47,,2,,7,,"138,020","18,761","7,356,740 ",2021-04-10,,,
Saint Kitts and Nevis,44,, ,,44,,0,,823,,"12,381","231,468","53,489 ",2021-04-10,,,
Greenland,31,, ,,31,,0,,545,,"20,669","363,596","56,846 ",2021-04-10,,,
Vatican City,27,, ,,15,,12,,"33,624",,,,803 ,2021-04-10,,,
Anguilla,25,, ,,22,,3,,"1,655",,"14,579","965,113","15,106 ",2021-04-10,,,
Saint Pierre Miquelon,24,, ,,24,,0,,"4,158",,"5,126","888,080","5,772 ",2021-04-10,,,
Montserrat,20,,1 ,,19,,0,,"4,005",200,"1,313","262,915","4,994 ",2021-04-10,,,
Solomon Islands,19,, ,,18,,1,,27,,"4,500","6,431","699,780 ",2021-04-10,,,
Western Sahara,10,,1 ,,8,,1,,16,2,,,"608,583 ",2021-04-10,,,
MS Zaandam,9,,2 ,,7,,0,,,,,, ,2021-04-10,,,
Marshall Islands,4,, ,,4,,0,,67,,,,"59,498 ",2021-04-10,,,
Samoa,3,, ,,2,,1,,15,,,,"199,431 ",2021-04-10,,,
